Area.Name	Area.ID	Park.Name	Park.ID	Squirrel.ID	Primary.Fur.Color	Highlights.in.Fur.Color	Color.Notes	Location	Above.Ground..Height.in.Feet.	Specific.Location	Activities	Interactions.with.Humans	Other.Notes.or.Observations	Squirrel.Latitude..DD.DDDDDD.	Squirrel.Longitude...DD.DDDDDD.
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-39	Gray	NA	NA	Above Ground, Specific Location	NA	tree low	NA	Indifferent	NA	40.732001	-73.998491
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-40	Gray	NA	NA	Ground Plane	NA	NA	Foraging	Indifferent	Busy area	40.731974	-73.998482
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-41	Gray	NA	NA	NA	NA	NA	NA	Indifferent	NA	40.731861	-73.998122
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-42	Gray	NA	NA	NA	NA	NA	NA	Indifferent	NA	40.731804	-73.997999
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-43	Gray	NA	NA	Above Ground, Specific Location	NA	tree	NA	Indifferent	NA	40.731747	-73.997859
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-44	Gray	NA	NA	Above Ground, Specific Location	NA	tree	NA	Indifferent	NA	40.731665	-73.997747
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-45	Gray	NA	NA	Above Ground, Specific Location	NA	tree	NA	Indifferent	NA	40.731548	-73.99758
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-46	Gray	NA	NA	Above Ground, Specific Location	NA	tree high	NA	Indifferent	NA	40.731389	-73.997231
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-47	Gray	NA	NA	NA	NA	NA	NA	Indifferent	Sun	40.7312	-73.996805
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-48	Gray	NA	NA	Above Ground, Specific Location	NA	small tree	NA	Indifferent	NA	40.731119	-73.996655
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-49	Gray	NA	NA	Specific Location	NA	on bench	NA	Indifferent	NA	40.731103	-73.996601
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-50	Gray	NA	NA	NA	NA	NA	NA	Indifferent	NA	40.73092	-73.996242
CENTRAL MANHATTAN	B	Washington Square Park	10	B-10-51	Gray	NA	NA	NA	NA	NA	NA	Indifferent	NA	40.730782	-73.996017
